N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,46,97.49609375,100.13671875,358.2265625,381.21484375,0.0,0.0,18.51953125,-10.611719131469727
12,100,8.75,none,0,47,98.04296875,99.88671875,359.01171875,383.3359375,0.0,0.0,18.6328125,-10.76826286315918
12,100,8.75,none,0,48,96.60546875,101.77734375,355.1171875,387.67578125,0.0,0.0,18.55078125,-10.456738471984863
12,100,8.75,none,0,49,96.44921875,101.3828125,354.1640625,386.61328125,0.0,0.0,19.17578125,-10.555338859558105
12,100,8.75,none,0,50,96.5078125,101.30859375,355.8984375,387.140625,0.0,0.0,19.375,-10.861166000366211
12,100,8.75,none,0,51,96.22265625,100.58203125,352.7109375,385.40234375,0.0,0.0,19.7890625,-10.852603912353516
12,100,8.75,none,0,52,95.53125,99.96875,352.27734375,384.6484375,0.0,0.0,19.7421875,-10.728874206542969
12,100,8.75,none,0,53,94.703125,100.640625,350.58203125,389.9453125,0.0,0.0,19.90625,-10.646257400512695
12,100,8.75,none,0,54,94.57421875,100.49609375,352.87890625,390.796875,0.0,0.0,20.19921875,-10.537012100219727
12,100,8.75,none,0,55,94.8359375,100.046875,355.37109375,393.3828125,0.0,0.0,20.44921875,-10.534082412719727
12,100,8.75,none,0,56,94.52734375,100.875,352.0546875,395.70703125,0.0,0.0,20.5546875,-10.669563293457031
12,100,8.75,none,0,57,93.984375,100.55078125,354.7578125,398.01171875,0.0,0.0,20.8203125,-10.752017974853516
12,100,8.75,none,0,58,94.37890625,99.62890625,353.37109375,394.57421875,0.0,0.0,20.73046875,-10.719043731689453
12,100,8.75,none,0,59,94.1171875,99.21875,354.61328125,391.01953125,0.0,0.0,20.4609375,-10.650943756103516
12,100,8.75,none,0,60,95.2734375,99.484375,355.0,394.64453125,0.0,0.0,21.078125,-10.684440612792969
12,100,8.75,none,0,61,94.93359375,98.94140625,353.2421875,391.05078125,0.0,0.0,20.74609375,-10.9423828125
12,100,8.75,none,0,62,95.34765625,99.859375,354.62109375,393.4609375,0.0,0.0,21.16015625,-10.926889419555664
12,100,8.75,none,0,63,95.58203125,99.8203125,354.59765625,390.84765625,0.0,0.0,20.72265625,-10.760383605957031
12,100,8.75,none,0,64,94.9453125,98.74609375,352.203125,385.171875,0.0,0.0,20.71875,-10.801009178161621
12,100,8.75,none,0,65,96.2109375,99.53515625,352.1171875,388.234375,0.0,0.0,20.7109375,-10.896387100219727
12,100,8.75,none,0,66,94.734375,99.98046875,347.9609375,388.66015625,0.0,0.0,20.6875,-10.50986385345459
12,100,8.75,none,0,67,95.2578125,99.77734375,349.84765625,385.9296875,0.0,0.0,21.15625,-10.783495903015137
12,100,8.75,none,0,68,94.73046875,100.03515625,348.2734375,387.95703125,0.0,0.0,20.69921875,-10.783366203308105
12,100,8.75,none,0,69,94.90625,100.0546875,345.9921875,386.82421875,0.0,0.0,20.609375,-10.779069900512695
12,100,8.75,none,0,70,94.12109375,100.94921875,344.0703125,388.375,0.0,0.0,20.71484375,-10.451236724853516
12,100,8.75,none,0,71,94.1875,99.78125,342.01953125,386.37109375,0.0,0.0,20.66015625,-10.814192771911621
12,100,8.75,none,0,72,95.953125,99.7734375,346.0390625,379.55078125,0.0,0.0,20.34375,-10.736783981323242
12,100,8.75,none,0,73,96.359375,100.32421875,346.765625,382.55078125,0.0,0.0,20.08203125,-10.823534965515137
12,100,8.75,none,0,74,95.74609375,100.3203125,343.2265625,380.9765625,0.0,0.0,20.2109375,-10.542871475219727
12,100,8.75,none,0,75,95.79296875,100.796875,342.140625,382.6015625,0.0,0.0,19.9609375,-10.744205474853516
12,100,8.75,none,0,76,96.5,100.22265625,347.14453125,378.3203125,0.0,0.0,20.02734375,-10.768000602722168
12,100,8.75,none,0,77,96.515625,100.39453125,345.62109375,375.64453125,0.0,0.0,20.23828125,-10.824544906616211
12,100,8.75,none,0,78,96.83203125,101.02734375,344.50390625,377.1328125,0.0,0.0,19.5390625,-10.642903327941895
12,100,8.75,none,0,79,96.0859375,101.5703125,342.21484375,377.57421875,0.0,0.0,19.71875,-10.451661109924316
12,100,8.75,none,0,80,95.87890625,102.1953125,341.54296875,380.4375,0.0,0.0,19.94140625,-10.559179306030273
12,100,8.75,none,0,81,96.296875,100.4296875,342.83203125,375.01171875,0.0,0.0,19.875,-10.498991012573242
12,100,8.75,none,0,82,96.18359375,102.1015625,340.6015625,376.74609375,0.0,0.0,19.6171875,-10.446062088012695
12,100,8.75,none,0,83,96.39453125,101.84765625,340.90234375,375.1953125,0.0,0.0,19.44140625,-10.662338256835938
12,100,8.75,none,0,84,96.74609375,102.3125,342.61328125,373.58984375,0.0,0.0,19.29296875,-10.340593338012695
12,100,8.75,none,0,85,96.27734375,102.59765625,337.8359375,375.625,0.0,0.0,19.6875,-10.452507019042969
12,100,8.75,none,0,86,95.109375,103.703125,333.65234375,379.3359375,0.0,0.0,19.34375,-10.162141799926758
12,100,8.75,none,0,87,96.4296875,103.5859375,338.14453125,376.5546875,0.0,0.0,19.06640625,-10.387044906616211
12,100,8.75,none,0,88,97.09375,102.8515625,338.3359375,375.625,0.0,0.0,18.66015625,-10.332422256469727
12,100,8.75,none,0,89,96.14453125,103.61328125,332.58203125,375.97265625,0.0,0.0,18.7421875,-10.15732479095459
