N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,2,none,0,42,97.99609375,99.48046875,0.0,0.0,17.69921875,-10.743945121765137
12,100,2,none,0,43,97.42578125,99.20703125,0.0,0.0,18.0078125,-10.731901168823242
12,100,2,none,0,44,96.76953125,98.43359375,0.0,0.0,18.0,-10.85517692565918
12,100,2,none,0,45,96.484375,100.421875,0.0,0.0,18.19921875,-10.672167778015137
12,100,2,none,0,46,97.26953125,99.40234375,0.0,0.0,18.8984375,-10.691112518310547
12,100,2,none,0,47,97.10546875,99.8203125,0.0,0.0,18.51953125,-10.693327903747559
12,100,2,none,0,48,96.46484375,100.35546875,0.0,0.0,18.78125,-10.677148818969727
12,100,2,none,0,49,96.9609375,100.65625,0.0,0.0,19.0625,-10.807064056396484
12,100,2,none,0,50,95.77734375,100.984375,0.0,0.0,19.35546875,-10.727832794189453
12,100,2,none,0,51,95.8984375,100.60546875,0.0,0.0,19.97265625,-10.818816184997559
12,100,2,none,0,52,94.26171875,100.515625,0.0,0.0,20.21484375,-10.499772071838379
12,100,2,none,0,53,93.6484375,101.26953125,0.0,0.0,20.1328125,-10.402995109558105
12,100,2,none,0,54,93.88671875,100.11328125,0.0,0.0,20.8828125,-10.608789443969727
12,100,2,none,0,55,93.63671875,100.3515625,0.0,0.0,21.078125,-10.593034744262695
12,100,2,none,0,56,94.8046875,100.41796875,0.0,0.0,20.69921875,-10.751920700073242
12,100,2,none,0,57,94.2578125,100.8203125,0.0,0.0,20.8984375,-10.4755859375
12,100,2,none,0,58,93.8046875,99.5546875,0.0,0.0,20.96875,-10.717058181762695
12,100,2,none,0,59,93.65234375,99.828125,0.0,0.0,20.8671875,-10.768359184265137
12,100,2,none,0,60,95.30859375,99.421875,0.0,0.0,20.81640625,-10.782485961914062
12,100,2,none,0,61,94.80859375,100.0625,0.0,0.0,20.6171875,-10.462206840515137
12,100,2,none,0,62,96.15625,98.58203125,0.0,0.0,21.0546875,-11.004459381103516
12,100,2,none,0,63,95.75,99.4765625,0.0,0.0,20.921875,-10.875422477722168
12,100,2,none,0,64,96.44921875,99.7734375,0.0,0.0,20.0546875,-11.022819519042969
