N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,0,1,617,54.7265625,65.56640625,264.88671875,264.26171875,0.6648311614990234,0.36297324299812317,19.1171875,-26.910629272460938
12,100,8.75,0,1,618,53.51953125,66.06640625,254.3671875,262.609375,0.6723870635032654,0.3538467586040497,19.32421875,-26.983905792236328
12,100,8.75,0,1,619,54.34765625,66.1953125,260.30078125,263.33203125,0.6532300710678101,0.3570666015148163,19.52734375,-27.322561264038086
12,100,8.75,0,1,620,55.53515625,65.390625,265.8515625,261.65625,0.6782746911048889,0.365486204624176,19.06640625,-26.748144149780273
12,100,8.75,0,1,621,54.77734375,66.06640625,262.39453125,260.9453125,0.6081752181053162,0.36292600631713867,18.8125,-26.985403060913086
12,100,8.75,0,1,622,55.30859375,64.6171875,267.921875,257.7109375,0.6693736910820007,0.36672258377075195,19.63671875,-27.76370620727539
12,100,8.75,0,1,623,55.8828125,65.40625,270.84375,260.27734375,0.6455900073051453,0.3705761134624481,19.33203125,-27.483009338378906
12,100,8.75,0,1,624,55.9453125,65.3515625,268.50390625,260.0234375,0.676874041557312,0.3694212734699249,18.90234375,-26.69580078125
12,100,8.75,0,1,625,55.9609375,65.203125,266.30078125,259.28515625,0.6682258248329163,0.3703066110610962,18.75390625,-26.678678512573242
12,100,8.75,0,1,626,54.94140625,65.4140625,263.78515625,255.1875,0.6540359258651733,0.36391013860702515,19.7109375,-27.700214385986328
12,100,8.75,0,1,627,55.15234375,66.15234375,262.359375,258.4609375,0.6462821960449219,0.36021390557289124,18.79296875,-26.69300079345703
12,100,8.75,0,1,628,57.5703125,65.17578125,272.125,257.10546875,0.6553871631622314,0.3752457797527313,19.44140625,-27.677669525146484
12,100,8.75,0,1,629,56.44140625,65.4375,266.78515625,257.36328125,0.6390500068664551,0.36999812722206116,19.52734375,-27.57425308227539
12,100,8.75,0,1,630,55.06640625,66.72265625,260.1796875,263.03515625,0.649915337562561,0.360525906085968,19.171875,-27.03011131286621
12,100,8.75,0,1,631,55.875,65.33984375,265.59375,259.80859375,0.6578283309936523,0.36656615138053894,19.50390625,-27.541637420654297
12,100,8.75,0,1,632,54.53125,66.28515625,262.48046875,262.65625,0.6598160266876221,0.3608085811138153,19.96875,-27.821407318115234
12,100,8.75,0,1,633,55.140625,66.859375,265.61328125,264.33984375,0.6593498587608337,0.3637920022010803,19.8515625,-27.61632537841797
12,100,8.75,0,1,634,56.6953125,65.625,277.16015625,261.8125,0.6438452005386353,0.3732702434062958,19.9921875,-28.244665145874023
12,100,8.75,0,1,635,55.41015625,65.328125,270.07421875,260.9765625,0.6754050850868225,0.3679411709308624,20.30859375,-28.354429244995117
12,100,8.75,0,1,636,55.48046875,66.14453125,269.859375,267.12890625,0.6799489855766296,0.36912333965301514,19.828125,-27.812108993530273
12,100,8.75,0,1,637,55.6875,66.66796875,268.3203125,269.73828125,0.6815292835235596,0.36542001366615295,19.41796875,-26.97578239440918
12,100,8.75,0,1,638,55.6171875,65.359375,267.71875,265.21875,0.6598777770996094,0.3657011389732361,19.796875,-27.80916404724121
12,100,8.75,0,1,639,55.84765625,65.58203125,270.6640625,261.5859375,0.6681406497955322,0.3683589696884155,18.85546875,-26.82962417602539
12,100,8.75,0,1,640,55.59375,64.328125,266.82421875,262.12890625,0.6661459803581238,0.3676464855670929,19.36328125,-27.302345275878906
12,100,8.75,0,1,641,54.58203125,65.59765625,262.296875,263.77734375,0.6623357534408569,0.36095917224884033,18.7734375,-26.52680778503418
12,100,8.75,0,1,642,54.90625,65.171875,264.94140625,260.66015625,0.6798923015594482,0.36280444264411926,20.22265625,-28.10623550415039
12,100,8.75,0,1,643,54.69921875,64.3515625,262.890625,261.13671875,0.6582169532775879,0.3648293912410736,19.40625,-27.31599998474121
