condition,seed,update,enforce,freeze,bonus_on,removal_on,hazard_on,coord_on,eat0,eat1,eat2,eat3,enc0,enc1,enc2,enc3,selectivity,prevalence,zaps,ret
none,0,1199,1.0,0.0,1.0,1.0,1.0,1.0,14.09375,122.60546875,134.48828125,116.953125,74.33203125,312.71875,341.6875,302.7109375,0.0,0.0,0.19140625,56.52192306518555
none,1,0,1.0,0.0,1.0,1.0,1.0,1.0,25.21484375,25.28125,24.43359375,22.703125,200.9296875,205.4296875,196.4140625,190.203125,0.0,0.0,18.48828125,-1.0322046279907227
none,1,1,1.0,0.0,1.0,1.0,1.0,1.0,26.13671875,26.68359375,25.46484375,24.1875,195.66015625,204.82421875,199.58984375,191.37890625,0.0,0.0,18.328125,-0.3287356197834015
none,1,2,1.0,0.0,1.0,1.0,1.0,1.0,27.4375,28.66796875,28.26171875,26.17578125,199.02734375,208.015625,204.5,193.4765625,0.0,0.0,17.703125,0.4266795516014099
none,1,3,1.0,0.0,1.0,1.0,1.0,1.0,28.5703125,29.6796875,29.8515625,27.296875,190.4921875,207.375,207.828125,192.14453125,0.0,0.0,16.59765625,1.1095781326293945
none,1,4,1.0,0.0,1.0,1.0,1.0,1.0,29.93359375,32.06640625,29.81640625,27.8203125,189.26953125,207.2734375,200.2890625,186.04296875,0.0,0.0,16.77734375,1.48297917842865
none,1,5,1.0,0.0,1.0,1.0,1.0,1.0,30.44921875,33.63671875,32.25,29.9453125,185.68359375,207.59765625,204.3359375,190.01953125,0.0,0.0,16.64453125,2.429983615875244
none,1,6,1.0,0.0,1.0,1.0,1.0,1.0,31.1953125,35.1015625,33.20703125,31.9140625,179.9921875,207.84375,202.16796875,193.01171875,0.0,0.0,15.96875,2.967637538909912
none,1,7,1.0,0.0,1.0,1.0,1.0,1.0,32.3046875,37.77734375,34.390625,33.49609375,176.76171875,211.91015625,197.77734375,191.31640625,0.0,0.0,15.55859375,3.817150592803955
none,1,8,1.0,0.0,1.0,1.0,1.0,1.0,33.3671875,38.98046875,35.60546875,33.9609375,174.4140625,210.1015625,200.828125,187.60546875,0.0,0.0,15.06640625,4.3014655113220215
none,1,9,1.0,0.0,1.0,1.0,1.0,1.0,33.65234375,41.10546875,36.703125,35.296875,168.28125,210.53515625,197.73046875,186.171875,0.0,0.0,14.7265625,4.975001811981201
none,1,10,1.0,0.0,1.0,1.0,1.0,1.0,33.9375,42.32421875,37.35546875,36.7578125,162.23046875,208.3203125,190.953125,183.25,0.0,0.0,14.578125,5.473727703094482
none,1,11,1.0,0.0,1.0,1.0,1.0,1.0,34.16796875,43.515625,38.2578125,37.734375,158.609375,201.30078125,190.19921875,182.6875,0.0,0.0,14.12890625,6.057887077331543
none,1,12,1.0,0.0,1.0,1.0,1.0,1.0,34.1953125,45.01171875,39.8359375,39.4140625,153.125,200.68359375,186.84765625,179.796875,0.0,0.0,13.3671875,6.91190242767334
none,1,13,1.0,0.0,1.0,1.0,1.0,1.0,36.06640625,45.65234375,39.90234375,40.80859375,154.26171875,195.3046875,178.1796875,180.21875,0.0,0.0,13.33203125,7.152896881103516
none,1,14,1.0,0.0,1.0,1.0,1.0,1.0,36.00390625,47.1171875,42.01953125,41.67578125,147.96484375,195.1171875,180.1875,176.328125,0.0,0.0,13.0546875,7.864913463592529
none,1,15,1.0,0.0,1.0,1.0,1.0,1.0,36.265625,47.609375,42.35546875,43.45703125,145.55859375,189.9140625,174.24609375,175.453125,0.0,0.0,12.55859375,8.386502265930176
none,1,16,1.0,0.0,1.0,1.0,1.0,1.0,36.48046875,49.32421875,43.32421875,43.50390625,141.84765625,189.80859375,171.52734375,169.98828125,0.0,0.0,12.1484375,8.946173667907715
none,1,17,1.0,0.0,1.0,1.0,1.0,1.0,38.3203125,49.69140625,44.828125,44.69140625,146.484375,186.9765625,170.640625,168.7734375,0.0,0.0,11.9375,9.146339416503906
none,1,18,1.0,0.0,1.0,1.0,1.0,1.0,39.23828125,49.62890625,45.2109375,48.0625,147.36328125,182.70703125,167.34765625,175.72265625,0.0,0.0,11.7890625,9.640954971313477
none,1,19,1.0,0.0,1.0,1.0,1.0,1.0,39.25390625,51.81640625,46.02734375,46.546875,145.5625,187.8125,167.26953125,169.1328125,0.0,0.0,11.38671875,9.810236930847168
none,1,20,1.0,0.0,1.0,1.0,1.0,1.0,39.0390625,52.48828125,47.5,48.109375,141.51953125,185.5703125,168.421875,171.12109375,0.0,0.0,11.40234375,10.648009300231934
none,1,21,1.0,0.0,1.0,1.0,1.0,1.0,40.85546875,52.73046875,47.90625,48.29296875,147.5859375,184.37109375,167.9296875,171.27734375,0.0,0.0,10.8671875,10.830169677734375
